id,title,description,price,image,variants,stock,created_at,updated_at
a1b2c3d4-e5f6-7890-1234-567890abcdef,"Classic Cotton T-Shirt","A comfortable and durable t-shirt made from 100% premium cotton. Perfect for everyday wear.",1999,"https://picsum.photos/seed/tshirt/400/300","{""color"":[""Red"",""Blue"",""Black""],""size"":[""S"",""M"",""L"",""XL""]}",150,"2023-01-15T10:00:00Z","2023-10-20T14:30:00Z"
b2c3d4e5-f6a7-8901-2345-67890abcdef0,"Wireless Bluetooth Headphones","Experience immersive sound with these high-quality wireless Bluetooth headphones. Long battery life and noise-cancellation.",7950,"https://picsum.photos/seed/headphones/400/300","{""color"":[""Black"",""White"",""Silver""],""size"":[""One Size""]}",75,"2023-02-20T11:00:00Z","2023-11-01T09:15:00Z"
c3d4e5f6-a7b8-9012-3456-7890abcdef01,"Stainless Steel Water Bottle","Stay hydrated with this eco-friendly stainless steel water bottle. Keeps drinks cold for 24 hours or hot for 12 hours.",2500,"https://picsum.photos/seed/bottle/400/300","{""color"":[""Silver"",""Matte Black"",""Ocean Blue""],""size"":[""500ml"",""750ml""]}",200,"2023-03-10T08:30:00Z","2023-03-10T08:30:00Z"
d4e5f6a7-b8c9-0123-4567-890abcdef012,"Leather Laptop Sleeve","Protect your laptop in style with this genuine leather sleeve. Fits most 13-inch laptops.",4599,"https://picsum.photos/seed/laptopsleeve/400/300","{""color"":[""Brown"",""Black""],""size"":[""13-inch"",""15-inch""]}",90,"2023-04-05T16:20:00Z","2023-09-25T10:05:00Z"
e5f6a7b8-c9d0-1234-5678-90abcdef0123,"Organic Green Tea","A refreshing and healthy blend of organic green tea leaves. Rich in antioxidants.",1275,"https://picsum.photos/seed/greentea/400/300","{""color"":[""N/A""],""size"":[""50g"",""100g""]}",300,"2023-05-01T09:00:00Z","2023-05-01T09:00:00Z"
f6a7b8c9-d0e1-2345-6789-0abcdef01234,"Running Shoes","Lightweight and comfortable running shoes designed for optimal performance and support.",12000,"https://picsum.photos/seed/runningshoes/400/300","{""color"":[""Neon Green"",""Stealth Black"",""Sky Blue""],""size"":[""US 8"",""US 9"",""US 10"",""US 11""]}",60,"2023-06-18T13:45:00Z","2023-11-10T11:20:00Z"
a7b8c9d0-e1f2-3456-7890-abcdef012345,"Yoga Mat","Eco-friendly, non-slip yoga mat for your daily practice. Provides excellent cushioning and grip.",3550,"https://picsum.photos/seed/yogamat/400/300","{""color"":[""Purple"",""Teal"",""Pink""],""size"":[""Standard"",""Extra Long""]}",110,"2023-07-22T07:10:00Z","2023-07-22T07:10:00Z"
b8c9d0e1-f2a3-4567-8901-bcdef0123456,"Smart Home Hub","Control all your smart home devices from one central hub. Compatible with Alexa, Google Assistant, and Apple HomeKit.",9999,"https://picsum.photos/seed/smarthub/400/300","{""color"":[""White"",""Graphite""],""size"":[""One Size""]}",40,"2023-08-03T18:00:00Z","2023-10-15T12:00:00Z"
c9d0e1f2-a3b4-5678-9012-cdef01234567,"Gourmet Coffee Beans","Artisanal roasted coffee beans from Ethiopia. Medium roast with notes of chocolate and citrus.",1825,"https://picsum.photos/seed/coffeebeans/400/300","{""color"":[""N/A""],""size"":[""250g"",""500g"",""1kg""]}",250,"2023-09-11T10:30:00Z","2023-09-11T10:30:00Z"
d0e1f2a3-b4c5-6789-0123-def012345678,"Portable Power Bank","High-capacity portable power bank to keep your devices charged on the go. 20000mAh capacity.",3995,"https://picsum.photos/seed/powerbank/400/300","{""color"":[""Black"",""Red""],""size"":[""20000mAh""]}",130,"2023-10-28T12:15:00Z","2023-11-05T17:40:00Z"
e1f2a3b4-c5d6-7890-1234-ef0123456789,"Ergonomic Office Chair","Improve your posture and comfort with this ergonomic office chair, featuring lumbar support and adjustable armrests.",18999,"https://picsum.photos/seed/officechair/400/300","{""color"":[""Black"",""Grey"",""Blue""],""size"":[""Standard""]}",55,"2023-11-15T09:30:00Z","2023-11-20T10:00:00Z"
f2a3b4c5-d6e7-8901-2345-f0123456789a,"Smart Watch Series 7","Stay connected and track your fitness goals with the latest Smart Watch. Features GPS and heart rate monitor.",34900,"https://picsum.photos/seed/smartwatch/400/300","{""color"":[""Midnight Black"",""Starlight Silver"",""Forest Green""],""size"":[""41mm"",""45mm""]}",80,"2023-11-01T14:00:00Z","2023-11-18T16:25:00Z"
a3b4c5d6-e7f8-9012-3456-0123456789ab,"Noise-Cancelling Earbuds","Compact and powerful noise-cancelling earbuds for an immersive audio experience anywhere.",14950,"https://picsum.photos/seed/earbuds/400/300","{""color"":[""White"",""Black"",""Navy""],""size"":[""One Size""]}",120,"2023-10-05T11:00:00Z","2023-11-10T09:30:00Z"
b4c5d6e7-f8a9-0123-4567-123456789abc,"Professional DSLR Camera","Capture stunning photos and videos with this professional-grade DSLR camera. Includes 18-55mm lens.",79999,"https://picsum.photos/seed/dslrcamera/400/300","{""color"":[""Black""],""size"":[""Body + Kit Lens""]}",25,"2023-09-20T10:15:00Z","2023-11-01T12:00:00Z"
c5d6e7f8-a9b0-1234-5678-23456789abcd,"Gaming Mouse","High-precision gaming mouse with customizable buttons and RGB lighting for the ultimate gaming setup.",5990,"https://picsum.photos/seed/gamingmouse/400/300","{""color"":[""Black"",""White""],""size"":[""Standard""]}",95,"2023-11-12T17:00:00Z","2023-11-12T17:00:00Z"
d6e7f8a9-b0c1-2345-6789-3456789abcde,"Electric Toothbrush","Advanced electric toothbrush with multiple cleaning modes and a pressure sensor for healthier gums.",8975,"https://picsum.photos/seed/toothbrush/400/300","{""color"":[""White"",""Black"",""Pink""],""size"":[""One Size""]}",110,"2023-08-25T08:00:00Z","2023-10-30T14:45:00Z"
e7f8a9b0-c1d2-3456-7890-456789abcdef,"Travel Backpack","Durable and spacious travel backpack with multiple compartments and a padded laptop sleeve. Water-resistant.",7500,"https://picsum.photos/seed/backpack/400/300","{""color"":[""Grey"",""Black"",""Blue Camo""],""size"":[""40L"",""50L""]}",70,"2023-07-10T15:20:00Z","2023-11-08T11:10:00Z"
f8a9b0c1-d2e3-4567-8901-56789abcdef0,"Air Purifier","HEPA air purifier that removes 99.97% of airborne particles, including dust, pollen, and smoke. Ideal for bedrooms.",12999,"https://picsum.photos/seed/airpurifier/400/300","{""color"":[""White""],""size"":[""Small Room"",""Medium Room""]}",65,"2023-11-03T10:00:00Z","2023-11-19T09:00:00Z"
a9b0c1d2-e3f4-5678-9012-6789abcdef01,"Insulated Coffee Mug","Keep your coffee hot for hours with this stainless steel insulated mug. Leak-proof lid.",2250,"https://picsum.photos/seed/coffeemug/400/300","{""color"":[""Black"",""Stainless Steel"",""Navy Blue""],""size"":[""12oz"",""16oz""]}",180,"2023-09-01T13:00:00Z","2023-09-01T13:00:00Z"
b0c1d2e3-f4a5-6789-0123-789abcdef012,"Bluetooth Speaker","Portable Bluetooth speaker with rich sound and long battery life. Waterproof and dustproof.",6500,"https://picsum.photos/seed/btspkr/400/300","{""color"":[""Black"",""Blue"",""Red""],""size"":[""Compact""]}",100,"2023-10-10T16:45:00Z","2023-11-14T18:30:00Z"
c1d2e3f4-a5b6-7890-1234-89abcdef0123,"Men's Leather Wallet","Slim and stylish genuine leather wallet with multiple card slots and RFID blocking technology.",2999,"https://picsum.photos/seed/wallet/400/300","{""color"":[""Black"",""Brown"",""Tan""],""size"":[""Slim""]}",150,"2023-08-15T09:00:00Z","2023-11-01T10:20:00Z"
d2e3f4a5-b6c7-8901-2345-9abcdef01234,"Reusable Shopping Bags","Set of 5 durable and foldable reusable shopping bags. Eco-friendly alternative to plastic bags.",1550,"https://picsum.photos/seed/shoppingbags/400/300","{""color"":[""Assorted Patterns""],""size"":[""Large""]}",220,"2023-06-05T11:30:00Z","2023-06-05T11:30:00Z"
e3f4a5b6-c7d8-9012-3456-abcdef012345,"Fitness Tracker Band","Lightweight fitness tracker band that monitors steps, heart rate, and sleep patterns. Water-resistant.",4995,"https://picsum.photos/seed/fitnesstracker/400/300","{""color"":[""Black"",""Blue"",""Purple""],""size"":[""Adjustable""]}",130,"2023-11-20T14:00:00Z","2023-11-25T09:15:00Z"
f4a5b6c7-d8e9-0123-4567-bcdef0123456,"Desk Lamp with USB Port","Modern LED desk lamp with adjustable brightness, color temperature, and a built-in USB charging port.",3499,"https://picsum.photos/seed/desklamp/400/300","{""color"":[""White"",""Black""],""size"":[""Standard""]}",85,"2023-09-28T16:00:00Z","2023-10-15T11:00:00Z"
a5b6c7d8-e9f0-1234-5678-cdef01234567,"Hard Shell Suitcase","Durable hard shell suitcase with 4 spinner wheels and a TSA-approved lock. Ideal for travel.",9900,"https://picsum.photos/seed/suitcase/400/300","{""color"":[""Silver"",""Charcoal"",""Rose Gold""],""size"":[""Carry-on"",""Medium"",""Large""]}",60,"2023-07-18T10:45:00Z","2023-11-10T13:30:00Z"
b6c7d8e9-f0a1-2345-6789-def012345678,"Silk Pillowcase","Luxurious 100% mulberry silk pillowcase for smoother hair and skin. Hypoallergenic.",2599,"https://picsum.photos/seed/pillowcase/400/300","{""color"":[""Ivory"",""Champagne"",""Silver Grey""],""size"":[""Standard"",""Queen"",""King""]}",110,"2023-10-02T12:00:00Z","2023-10-02T12:00:00Z"
c7d8e9f0-a1b2-3456-7890-ef0123456789,"Electric Kettle","Fast-boiling electric kettle with auto shut-off and boil-dry protection. 1.7-liter capacity.",4250,"https://picsum.photos/seed/kettle/400/300","{""color"":[""Stainless Steel"",""Black""],""size"":[""1.7L""]}",90,"2023-11-08T09:20:00Z","2023-11-22T15:00:00Z"
d8e9f0a1-b2c3-4567-8901-f0123456789a,"Resistance Bands Set","Set of 5 resistance bands with varying levels for home workouts and physical therapy.",1899,"https://picsum.photos/seed/resistancebands/400/300","{""color"":[""Multi-color""],""size"":[""Set of 5""]}",170,"2023-05-25T17:30:00Z","2023-10-18T08:45:00Z"
e9f0a1b2-c3d4-5678-9012-0123456789ab,"French Press Coffee Maker","Classic French press coffee maker for a rich, full-bodied brew. Durable borosilicate glass.",3200,"https://picsum.photos/seed/frenchpress/400/300","{""color"":[""Chrome"",""Copper""],""size"":[""350ml"",""1L""]}",75,"2023-09-14T11:10:00Z","2023-09-14T11:10:00Z"
f0a1b2c3-d4e5-6789-0123-123456789abc,"Microfiber Cleaning Cloths","Pack of 12 ultra-soft microfiber cleaning cloths. Non-abrasive and highly absorbent for all surfaces.",1295,"https://picsum.photos/seed/microfibercloths/400/300","{""color"":[""Assorted Brights""],""size"":[""12x12 inch""]}",250,"2023-08-01T15:00:00Z","2023-11-05T10:00:00Z"
0a1b2c3d-4e5f-6789-0123-23456789abcd,"Digital Kitchen Scale","Precise digital kitchen scale for accurate cooking and baking. Measures in grams, ounces, pounds, and milliliters.",1999,"https://picsum.photos/seed/kitchenscale/400/300","{""color"":[""Silver"",""Black""],""size"":[""Standard""]}",140,"2023-11-28T10:00:00Z","2023-12-01T11:30:00Z"
1b2c3d4e-5f6a-7890-1234-3456789abcde,"Scented Candle Set","Set of 3 aromatic scented candles: Lavender, Vanilla, and Ocean Breeze. Long-lasting fragrance.",2450,"https://picsum.photos/seed/candleset/400/300","{""color"":[""Assorted""],""size"":[""3-Pack""]}",160,"2023-10-12T14:20:00Z","2023-11-15T09:00:00Z"
2c3d4e5f-6a7b-8901-2345-456789abcdef,"Bamboo Cutting Board Set","Set of 3 organic bamboo cutting boards in various sizes. Durable, eco-friendly, and gentle on knives.",2799,"https://picsum.photos/seed/cuttingboard/400/300","{""color"":[""Natural Bamboo""],""size"":[""Small, Medium, Large Set""]}",100,"2023-09-05T13:00:00Z","2023-09-05T13:00:00Z"
3d4e5f6a-7b8c-9012-3456-56789abcdef0,"Portable Blender","Compact and rechargeable portable blender for smoothies and shakes on the go. USB charging.",3990,"https://picsum.photos/seed/portableblender/400/300","{""color"":[""Pink"",""Blue"",""Green""],""size"":[""380ml""]}",90,"2023-12-01T08:15:00Z","2023-12-03T10:00:00Z"
4e5f6a7b-8c9d-0123-4567-6789abcdef01,"Memory Foam Bath Mat","Soft and absorbent memory foam bath mat for a comfortable and non-slip bathroom experience.",1675,"https://picsum.photos/seed/bathmat/400/300","{""color"":[""Grey"",""Beige"",""Navy""],""size"":[""20x32 inch""]}",180,"2023-08-20T10:00:00Z","2023-11-10T14:30:00Z"
5f6a7b8c-9d0e-1234-5678-789abcdef012,"Wall-Mounted Spice Rack","Stainless steel wall-mounted spice rack to organize your kitchen spices efficiently. Easy to install.",2200,"https://picsum.photos/seed/spicerack/400/300","{""color"":[""Silver""],""size"":[""4-Tier""]}",70,"2023-07-25T16:50:00Z","2023-07-25T16:50:00Z"
6a7b8c9d-0e1f-2345-6789-89abcdef0123,"Gardening Tool Set","Durable 7-piece gardening tool set with ergonomic handles, including trowel, transplanter, and cultivator.",3150,"https://picsum.photos/seed/gardentools/400/300","{""color"":[""Green/Black""],""size"":[""7-Piece Set""]}",115,"2023-04-10T09:00:00Z","2023-10-05T11:45:00Z"
7b8c9d0e-1f2a-3456-7890-9abcdef01234,"Car Phone Mount","Universal car phone mount with strong suction cup and 360-degree rotation for safe hands-free navigation.",1499,"https://picsum.photos/seed/carphonemount/400/300","{""color"":[""Black""],""size"":[""Universal""]}",200,"2023-11-05T18:00:00Z","2023-11-20T12:10:00Z"
8c9d0e1f-2a3b-4567-8901-abcdef012345,"Weighted Blanket","Comforting weighted blanket designed to reduce stress and improve sleep quality. Made with breathable cotton.",6995,"https://picsum.photos/seed/weightedblanket/400/300","{""color"":[""Dark Grey"",""Navy Blue""],""size"":[""15 lbs"",""20 lbs""]}",50,"2023-10-20T12:30:00Z","2023-11-25T17:00:00Z"
9d0e1f2a-3b4c-5678-9012-bcdef0123456,"Glass Food Storage Containers","Set of 10 glass food storage containers with airtight lids. Microwave, oven, and dishwasher safe.",3599,"https://picsum.photos/seed/foodcontainers/400/300","{""color"":[""Clear/Blue Lids""],""size"":[""Assorted Sizes Set""]}",130,"2023-09-18T15:00:00Z","2023-09-18T15:00:00Z"
